Item (Texto),Gravedad,Sesgo,Nombre del Equipo
"Las protestas, sin precedentes, ya completan casi un mes, se han salido de control por cuenta de la violencia y tienen al borde de la quiebra a millones de personas y empresas en el país, aunque muchas de las demandas de los manifestantes son justas.","2,2,2,2,3,2,2,2","1,-1,1,1,-1,1,0,0",Sample
"Antes rivales irreconciliables en las canchas, hoy compañeros en la protesta social. Los hinchas de clubes con historial de largas enemistades en Colombia unieron sus voces para rechazar la realización de la Copa América 2021 que su país debía recibir junto con Argentina. Y lo consiguieron, los fanáticos y la población en general. “¡No se juega, la Copa no se juega!”, gritaron seguidores de distintos equipos con pancartas que rezaban “Si no hay paz, no hay futbol” y lograron lo impensable. Colombia perdió la sede por decisión de la Conmebol y los aficionados al futbol celebran lo que consideran un triunfo social, por encima de sus preferencias deportivas.","1,1,2,0,0,2,1,1,1,0","1,0,0,1,0,0,0,0,0",Sample
"Una patrullera de la Policía Nacional denunció este jueves que fue violada por vándalos en Cali, Valle del Cauca. La oficial se encontraba en labores de seguridad durante las manifestaciones del pasado 29 de abril cuando ocurrieron los hechos. Había sido asignada para brindar seguridad en un sector al oriente de Cali. En medio de los actos vandálicos, ella ingresó al CAI para protegerse. Pero los vándalos la emprendieron contra las instalaciones y lo prendieron fuego. Allí, esta mujer empezó a vivir los momentos más duros de su vida.","3,3,3,3,3,3,3,3,3","1,1,1,1,1,1,1,1,1",Sample
"A simple vista, todo lo que ha dicho Petro es claramente una exageración o una mentira. Sin embargo, en un ambiente caldeado y violento, sus palabras se convierten en gasolina, y lo único que hacen es encender más el odio en momentos en que los colombianos exigen grandeza y sensatez de parte de sus líderes políticos para poder sacar adelante las reformas que demandan los ciudadanos, principalmente los jóvenes. Por esta razón, Petro se equivoca y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasarle una costosa factura en términos políticos y dejarlo sin opciones en las presidenciales.","1,0,0,1,1,0,1,1","-1,0,1,1,1,1,1,1",Sample
"Durante los últimos 26 días desde que se convocó a Paro Nacional como negativa a las directrices del Gobierno de Iván Duque, la Fiscalía General y la Defensoría del Pueblo tienen en sus reportes 43 personas fallecidas de los cuales 17 de ellas tienen nexo directo con las protestas. Los lugares del país que más reportan muertes es Cali con ocho casos, seguido de Valle del Cauca (3), Cundinamarca (3), Tolima (1) y Bogotá (1). Adicionalmente, hay 7 muertes en proceso de verificación, y sobre 19 tienen evidencia para establecer que no guardan vínculo con las movilizaciones.","3,3,3,3,3,3,3,3,3","0,-1,0,0,0,0,0,0,0",Sample
"El sábado 22 de mayo pasado, el patrullero del Esmad Cristian Calderón, con un año en la Policía Nacional, fue herido de gravedad en su rostro cuando un hombre lo atacó con una bomba incendiaria en medio de desmanes que se estaban registrando en la autopista Sur con avenida 68. ""La Policía ofrece 50 millones de pesos para quien dé información de los responsables de esta tentativa de homicidio. Se ha creado un equipo especial para dar con los responsables a partir de los videos e información que ha estado recibiendo la Policía Nacional"", señaló el general Vargas.","3,2,3,2,2,3,3,3,2","0,1,0,1,1,1,1,0,1",Sample
"...se informó y difundieron imágenes sobre movilizaciones ciudadanas, que fueron reprimidas por la policía, en el sector Calima, de la misma ciudad. Además de Cali, hubo protestas en Palmira, también en Valle del Cauca, donde denunciaron una cruenta represión por parte de las fuerzas de seguridad contra los descontentos. Ciudadanos publicaron videos en las redes sociales y denunciaron que varias personas resultaron heridas. En ese mismo espacio también hubo reportes de presuntas capturas y desapariciones, aunque no se conocen cifras.","3,3,3,3,3,3,2,2","0,-1,0,0,0,-1,-1,-1",Sample
"Colombia.- El Gobierno colombiano y el Comité del Paro cierran la octava jornada de diálogo sin llegar a acuerdos

El 28 de abril comenzó el paro nacional, una huelga indefinida convocada contra la propuesta de reforma fiscal del Gobierno del presidente Iván Duque. La propuesta fue finalmente retirada por el Ejecutivo, pero la protesta continúa para denunciar la represión policial y las políticas de Duque y se han planteado una serie de reivindicaciones sociales, sanitarias y educativas.","1,2,1,2,2,1,0,0","-1,0,0,0,0,0,0,0,0",Sample
"La presión de las movilizaciones a lo largo del país, que iniciaron junto a un paro nacional el pasado 28 de abril, dejan por el momento dos logros tangibles: el retiro del proyecto a la reforma tributaria, anunciado el pasado 2 de mayo y la cancelación de la reforma a la salud, el pasado 19 de mayo.","2,2,1,2,2,2,2,1,1","0,0,0,0,0,0,-1,0,0",Sample
"Miles de colombianos se manifiestan a lo largo del país este 12 de mayo, en la tercera jornada de paro nacional desde que iniciaron las protestas antigubernamentales el pasado 28 de abril. Las movilizaciones de este miércoles, que transcurren de manera pacífica, fueron convocadas por el Comité Nacional del Paro en respuesta a la falta de un acuerdo con el presidente Iván Duque durante la primera reunión que sostuvieron el pasado lunes para negociar sus propuestas sociales, económicas y de seguridad con el fin de encontrar una salida a la crisis.","1,1,1,2,2,2,1,1,1","0,0,0,0,0,0,0,0,0",Sample
"Las protestas registradas en Colombia desde finales de abril han dejado al menos 27 muertos y más de 2.000 personas lesionadas, según un balance publicado este viernes por el Ministerio de Defensa y que cita como fuentes de información a la Fiscalía General de la Nación y la Policía Nacional.","3,3,3,3,3,3,3,3,3,3","-1,0,0,0,0,0,0,0,0,0",Sample
"Por primera vez en décadas los obreros, campesinos, indígenas y estudiantes se organizaron para protestar al tiempo; la caída de la reforma tributaria en medio de una emergencia fiscal mostró grietas en un modelo económico hasta ahora sólido y la capacidad de los políticos para generar confianza y resoluciones parece más limitada que nunca. Al menos 42 personas han muerto, según la Defensoría del Pueblo. Miles han resultado heridos. Cientos han pasado días desaparecidos. El país ha visto, en vivo y en directo, cientos de abusos policiales y unos cuantos tiroteos entre colombianos.","3,2,2,0,0,3,3,3,3,3,2","-1,0,0,0,0,-1,-1,-1",Sample
"Es cautivador ver como se ha organizado toda una vida en torno a las barricadas; madres que vienen a cocinar para sus hijos, los “cascos azules”, donaciones que reciben de todas partes del país, los vecinos que contribuyen trayendo algunas provisiones, trabajadores de la salud que ofrecen su tiempo para atender heridos y para lo que se han erigido dos puestos de salud. Sin embargo, las ayudas disminuyen cada vez más debido a una inflación galopante que la ciudad está experimentando por las dificultades de abastecimiento. “No es culpa nuestra. No estamos bloqueando el corredor humanitario contrariamente a lo que quieren hacer creer las autoridades”, asegura Steven.","1,1,2,1,2,2,2,2","0,0,-1,-1,0,0,-1,-1",Sample
"Amnistía Internacional (AI) urgió este jueves a Estados Unidos a que suspenda el suministro de armas a Colombia por su uso contra manifestantes en las protestas antigubernamentales que han estallado en esa nación suramericana. La organización, con sede en Londres, consideró verificado que el Gobierno presidido por el derechista Iván Duque ""está utilizando indebidamente armas y equipos de Estados Unidos para cometer violaciones de derechos humanos contra manifestantes en Colombia"". Por ello, AI instó al secretario de Estado de EE.UU., Antony Blinken, a que ""cese de inmediato el suministro, venta o transferencia directa o indirecta de material utilizado para la represión"".","2,1,3,3,3,3,3,3,2","-1,0,-1,-1,-1,0,0,0,-1",Sample
"El presidente Iván Duque ordenó en la noche del martes “el máximo despliegue operativo de la Fuerza Pública a nivel departamental y local, para desbloquear las vías en el país, amparados en el estricto apego a los derechos humanos y el respeto a la ley”.
Por su parte, el Comité catalogó el anuncio como una “declaración de guerra”, y convocó una ‘caravana nacional de solidaridad’ hacia Cali este 20 y 21 de mayo.","3,3,3,3,3,3,3,3,3","0,0,0,1,0,1,1,0,0",Sample
